Symbol,Name,LastSale,MarketCap,ADR_TSO,IPOyear,Sector,Industry,Summary_Quote
USB^O,U.S. Bancorp,25.01,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/usb^o
USB^P,U.S. Bancorp,26.13,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/usb^p
USPH,"U.S. Physical Therapy, Inc.",121.64,1552259231,n/a,1992,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/usph
SLCA,"U.S. Silica Holdings, Inc.",13.49,992235932.6,n/a,2012,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/slca
USX,"U.S. Xpress Enterprises, Inc.",5.36,260553684.3,n/a,2018,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/usx
UBER,"Uber Technologies, Inc.",44.27,75062119756,n/a,2019,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/uber
UBS,UBS AG,11.9,45922615187,n/a,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/ubs
UDR,"UDR, Inc.",45.11,12711764060,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/udr
UGI,UGI Corporation,53.33,9289218001,n/a,n/a,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/ugi
UGP,Ultrapar Participacoes S.A.,5.14,5582193655,n/a,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/ugp
UMH,"UMH Properties, Inc.",12.35,487958762.9,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/umh
UMH^B,"UMH Properties, Inc.",26.15,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/umh^b
UMH^C,"UMH Properties, Inc.",25.15,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/umh^c
UMH^D,"UMH Properties, Inc.",24.62,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/umh^d
UA,"Under Armour, Inc.",22.07,9953833582,n/a,2016,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/ua
UAA,"Under Armour, Inc.",25.15,11342950366,n/a,n/a,Consumer Non-Durables,Apparel,https://www.nasdaq.com/symbol/uaa
UFI,"Unifi, Inc.",18.39,338808863.8,n/a,n/a,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/ufi
UNF,Unifirst Corporation,187.67,3577516051,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/unf
UN,Unilever NV,60.72,1.58567E+11,n/a,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/un
UL,Unilever PLC,62.06,1.63109E+11,n/a,n/a,Basic Industries,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/ul
UNP,Union Pacific Corporation,171.5,1.21394E+11,n/a,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/unp
UIS,Unisys Corporation,9.87,510944060.3,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/uis
UNT,Unit Corporation,9.19,509750800.5,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/unt
UMC,United Microelectronics Corporation,2.27,5322840697,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/umc
UNFI,"United Natural Foods, Inc.",9.18,483827089.7,n/a,2019,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/unfi
UPS,"United Parcel Service, Inc.",102.97,88632006603,n/a,1999,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/ups
URI,"United Rentals, Inc.",134.3,10559216899,n/a,1997,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/uri
USM,United States Cellular Corporation,44.38,3832394958,n/a,1988,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/usm
UZA,United States Cellular Corporation,25.26,0,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/uza
UZB,United States Cellular Corporation,26.02,0,n/a,2014,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/uzb
